Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
10/05/2023,22:25:56,1.1,19.3712,-99.207,1.1,"3 km al SUR de V ALVARO OBREGON, CDMX",11/05/2023,04:25:56,revisado
10/05/2023,22:25:59,1.5,19.357,-99.2045,1.1,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,04:25:59,revisado
10/05/2023,22:29:48,2.4,19.3637,-99.1962,1.5,"4 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,04:29:48,revisado
10/05/2023,22:29:51,2.6,19.36,-99.201,1.5,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,04:29:51,revisado
10/05/2023,22:34:52,1.8,19.3673,-99.203,1,"4 km al SUR de V ALVARO OBREGON, CDMX",11/05/2023,04:34:52,revisado
10/05/2023,22:40:31,1.3,19.3547,-99.2115,1,"2 km al NORTE de LA MAGDALENA C, CDMX",11/05/2023,04:40:31,revisado
10/05/2023,23:19:31,1,19.36,-99.2,1.2,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,05:19:31,revisado
11/05/2023,01:43:23,2,19.366,-99.188,1,"3 km al NOROESTE de COYOACAN, CDMX",11/05/2023,07:43:23,revisado
11/05/2023,07:25:10,1.6,19.3677,-99.204,1,"4 km al SUR de V ALVARO OBREGON, CDMX",11/05/2023,13:25:10,revisado
11/05/2023,08:38:27,1.6,19.36,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,14:38:27,revisado
11/05/2023,08:43:40,1.2,19.36,-99.2,1.4,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,14:43:40,revisado
11/05/2023,09:05:31,2.2,19.365,-99.203,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,15:05:31,revisado
11/05/2023,09:25:23,2,19.359,-99.1882,1,"3 km al NOROESTE de COYOACAN, CDMX",11/05/2023,15:25:23,revisado
11/05/2023,09:58:09,1.3,19.36,-99.201,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,15:58:09,revisado
11/05/2023,10:55:46,1.2,19.36,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,16:55:46,revisado
11/05/2023,11:13:02,1,19.36,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",11/05/2023,17:13:02,revisado
11/05/2023,22:01:28,1.4,19.36,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",12/05/2023,04:01:28,revisado
12/05/2023,04:19:33,1.3,19.3652,-99.2043,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/05/2023,10:19:33,revisado
12/05/2023,17:46:50,2.2,19.365,-99.1915,1,"4 km al NOROESTE de COYOACAN, CDMX",12/05/2023,23:46:50,revisado
14/05/2023,18:41:01,1.8,19.3725,-99.2,1,"3 km al SUR de V ALVARO OBREGON, CDMX",15/05/2023,00:41:01,revisado
15/05/2023,02:45:52,1.8,19.3588,-99.1947,2,"3 km al NORESTE de LA MAGDALENA C, CDMX",15/05/2023,08:45:52,revisado
16/05/2023,04:50:30,1.6,19.3598,-99.1932,1,"3 km al NOROESTE de COYOACAN, CDMX",16/05/2023,10:50:30,revisado
16/05/2023,22:09:03,1.6,19.3642,-99.191,1,"3 km al NOROESTE de COYOACAN, CDMX",17/05/2023,04:09:03,revisado
21/05/2023,23:05:32,1.3,19.36,-99.2,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",22/05/2023,05:05:32,revisado
02/06/2023,19:12:04,2.3,19.362,-99.1767,1,"2 km al NOROESTE de COYOACAN, CDMX",03/06/2023,01:12:04,revisado
15/06/2023,06:24:36,1.2,19.3713,-99.1905,1,"3 km al SURESTE de V ALVARO OBREGON, CDMX",15/06/2023,12:24:36,revisado
19/06/2023,18:30:46,1.9,19.3608,-99.196,1.6,"4 km al NORESTE de LA MAGDALENA C, CDMX",20/06/2023,00:30:46,revisado
14/07/2023,20:31:00,2.5,19.3575,-99.2035,1,"3 km al NORESTE de LA MAGDALENA C, CDMX",15/07/2023,02:31:00,revisado
18/07/2023,15:05:33,2,19.3663,-99.1932,1,"4 km al NOROESTE de COYOACAN, CDMX",18/07/2023,21:05:33,revisado
26/07/2023,08:04:03,1.4,19.378,-99.18,1,"3 km al SURESTE de V ALVARO OBREGON, CDMX",26/07/2023,14:04:03,revisado
28/08/2023,18:04:38,1.7,19.4075,-99.187,1,"menos de 1 km al ESTE de MIGUEL HIDALGO, CDMX",29/08/2023,00:04:38,revisado
29/08/2023,18:52:22,1.3,19.3645,-99.2113,1,"3 km al NORTE de LA MAGDALENA C, CDMX",30/08/2023,00:52:22,revisado
02/09/2023,20:32:44,2,19.3617,-99.1945,menos de 1,"4 km al NOROESTE de COYOACAN, CDMX",03/09/2023,02:32:44,revisado
20/09/2023,11:13:23,1.5,19.3568,-99.2093,1,"3 km al NORTE de LA MAGDALENA C, CDMX",20/09/2023,17:13:23,revisado
02/12/2023,18:29:02,2,19.3605,-99.2077,1,"3 km al NORTE de LA MAGDALENA C, CDMX",03/12/2023,00:29:02,revisado
12/12/2023,11:06:27,2.7,19.3732,-99.2107,menos de 1,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",12/12/2023,17:06:27,revisado
12/12/2023,11:07:52,3,19.373,-99.2,menos de 1,"3 km al SUR de V ALVARO OBREGON, CDMX",12/12/2023,17:07:52,revisado
12/12/2023,11:08:53,1.5,19.37,-99.205,1.9,"3 km al SUR de V ALVARO OBREGON, CDMX",12/12/2023,17:08:53,revisado
12/12/2023,11:08:55,2.4,19.373,-99.219,menos de 1,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",12/12/2023,17:08:55,revisado
12/12/2023,11:09:06,1.6,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,17:09:06,revisado
12/12/2023,11:12:29,1.1,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,17:12:29,revisado
12/12/2023,11:14:19,0.6,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,17:14:19,revisado
12/12/2023,11:14:37,1.7,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,17:14:37,revisado
12/12/2023,11:17:44,1.7,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,17:17:44,revisado
12/12/2023,11:28:56,1.9,19.373,-99.2,1,"3 km al SUR de V ALVARO OBREGON, CDMX",12/12/2023,17:28:56,revisado
12/12/2023,14:23:09,2.1,19.363,-99.2,1,"4 km al NORESTE de LA MAGDALENA C, CDMX",12/12/2023,20:23:09,revisado
